store,score,common_months
159,0.6032208142315741,12
147,0.4875708754694099,12
260,0.46662707663705255,12
22,0.4628104119799003,12
176,0.4552178034789225,12
190,0.4537699857478161,12
145,0.4417947405874483,12
229,0.4299679124625866,12
64,0.42406374459665064,12
178,0.3624188031387668,12
188,0.35771478276735563,12
49,0.3481379597817455,12
99,0.34771058585444403,12
240,0.3411828837825018,12
106,0.3325695148342907,12
61,0.32928563517337583,12
88,0.3211291766366645,12
132,0.32045957284365684,12
109,0.31794617563293975,12
179,0.3107035684878305,12
228,0.30973636731990095,12
201,0.3080141075959199,12
168,0.3055665761312018,12
181,0.3025487435301855,12
171,0.29580426306976987,12
126,0.29142224708379233,12
198,0.2868620282735389,12
13,0.28114289751733895,12
17,0.2688814697401653,12
227,0.26605148036038445,12
138,0.26396558368174583,12
71,0.26381432534419175,12
89,0.263319448502701,12
258,0.2631563184578761,12
155,0.2575307908274575,12
62,0.2521939089851201,12
184,0.24987990513127337,12
222,0.2477767517189868,12
77,0.23909227376430675,12
114,0.236102012845727,12
112,0.2356646662712886,12
251,0.2317979429995681,12
20,0.228136000996407,12
104,0.22659372282219523,12
1,0.22013841690631322,12
247,0.21819320079125223,12
242,0.21506047922613866,12
25,0.21373584128156378,12
231,0.2079956792044418,12
245,0.20340498559217035,12
72,0.19793626499223313,12
56,0.19499140498286657,12
100,0.19445674269905186,12
163,0.1889045595113141,12
272,0.18872327668518496,12
249,0.1883224592659364,12
8,0.1856325848839944,12
140,0.18537185419831326,12
144,0.18318561883688914,12
90,0.18233948686749693,12
241,0.17697398432057845,12
212,0.1700674875023759,12
58,0.16654014563850603,12
204,0.1649767605978867,12
139,0.1638629376501401,12
213,0.16247560116849638,12
125,0.1576900208151745,12
261,0.15606215897026524,12
226,0.15197038421641007,12
169,0.14594879352749268,12
189,0.1416739282671767,12
118,0.13377538016385535,12
26,0.12866368308621895,12
223,0.1266117163981378,12
65,0.12345070469504467,12
269,0.11529819286930483,12
167,0.11415275468022208,12
32,0.11249208076711727,12
78,0.11115861249653725,12
194,0.11090969694243154,12
131,0.1038192737749641,12
230,0.10337725144557104,12
123,0.10143853433931127,12
146,0.10081351480805431,12
6,0.08990260873661786,12
103,0.0872834041100964,12
214,0.08570795738948804,12
220,0.08444218283870591,12
205,0.08124368645647498,12
187,0.0745516763727234,12
235,0.07090205110646511,12
3,0.07020083111318481,12
172,0.06965111960217894,12
160,0.06778386268372448,12
237,0.06535722107247299,12
57,0.06452474772069783,12
40,0.06388991643238372,12
210,0.06313059997861507,12
7,0.06069536703522621,12
156,0.05424675872890683,12
110,0.0536204060728959,12
253,0.05213064324155795,12
124,0.0515076845004527,12
12,0.05140997573152494,12
224,0.04873767038705673,12
82,0.04490161323108951,12
152,0.042865599283880146,12
196,0.04140896426408536,12
263,0.039424132782940546,12
199,0.03785036576145484,12
30,0.036362056919272974,12
95,0.03133225508319381,12
122,0.031324822491802094,12
234,0.023318978858089163,12
29,0.01642242274270364,12
74,0.016086744702675414,12
10,0.015259938631149786,12
157,0.014347797629421732,12
174,0.012711972345081535,12
143,0.01257896757868826,12
80,0.007672063228261509,12
225,0.004592099031676067,12
259,0.004515826623428069,12
166,0.0015952628462221133,12
94,0.0013914622630924842,12
153,-0.0036064252678732014,12
255,-0.003763058415283932,12
149,-0.012125661189996815,12
75,-0.01706129530575819,12
232,-0.01825086775721548,12
219,-0.02205633312196591,12
2,-0.022465776848285504,12
119,-0.024564877369092752,12
208,-0.024658916148094356,12
170,-0.02708453897004411,12
137,-0.027324876653325864,12
197,-0.028235722555978143,12
34,-0.03133422678464132,12
68,-0.03233799555256193,12
18,-0.0327025400658553,12
63,-0.037196257006335894,12
16,-0.038555883939451654,12
35,-0.041460296638111495,12
243,-0.045838568028391424,12
121,-0.046225535966125,12
98,-0.04832067691666147,12
54,-0.05048644053220255,12
267,-0.050759937555127504,12
239,-0.050775210062551666,12
73,-0.05332592309744719,12
93,-0.054364495363318714,12
129,-0.057962542960860626,12
60,-0.058493923003690905,12
70,-0.05992151509805704,12
183,-0.0623760562698397,12
271,-0.06643472199898921,12
41,-0.06683812263970346,12
256,-0.06698507467317037,12
91,-0.06787759592111817,12
79,-0.07198553388723344,12
185,-0.0742036139125982,12
111,-0.07523356516530653,12
164,-0.07989180323900393,12
39,-0.08075696741046885,12
45,-0.081750102910384,12
180,-0.08271510056422483,12
130,-0.08282987095167976,12
66,-0.09030136787161362,12
117,-0.09212114520670356,11
46,-0.09575069801778886,12
113,-0.09802609240334632,12
246,-0.1002553041655131,12
203,-0.10131096888528747,12
87,-0.10571293255879582,12
158,-0.10715179054227453,12
257,-0.10732073074216414,12
4,-0.10843239818058796,12
136,-0.11022047290070107,12
244,-0.11081001748828344,12
51,-0.11232191576935663,12
236,-0.11284951129530219,12
162,-0.1204530787711565,12
97,-0.12102704296973872,12
207,-0.12263099934700734,12
36,-0.12313887132598833,12
217,-0.1244921883825094,12
9,-0.1258697336505196,12
53,-0.1275850968843385,12
154,-0.13123462685973342,12
254,-0.13340635058457462,12
202,-0.13567087517140178,12
141,-0.13799905061207549,12
38,-0.14027148108642165,12
81,-0.1449301759626088,12
24,-0.14494922368543176,12
142,-0.1468003827066492,12
37,-0.15300966188957774,12
221,-0.16095913984305016,12
59,-0.1618021035924133,12
215,-0.16574274650084145,12
262,-0.16675235243121056,12
173,-0.16727094876230084,12
148,-0.1690129533570581,12
44,-0.17354636533162426,11
128,-0.17900159424042159,12
105,-0.17910620105007136,12
268,-0.18930043646654982,12
55,-0.18932376627694036,12
5,-0.1974946293861849,12
101,-0.20590367495065173,12
96,-0.2081518929954503,12
151,-0.2128098042596468,12
108,-0.21825180257798416,12
28,-0.2185213194071662,12
209,-0.22037182431991975,12
127,-0.2266828635721432,12
83,-0.22754143388081197,12
248,-0.23375747816119394,12
116,-0.2403622929638982,12
150,-0.24348477464724683,12
265,-0.2488821486106977,12
107,-0.24957928636351526,12
266,-0.25199535055999095,12
52,-0.25301545824051996,12
233,-0.25519301429169206,12
134,-0.2564745484214938,12
191,-0.2585696908260681,12
84,-0.2623599335810099,12
133,-0.2634212054551831,12
115,-0.2638747788167417,12
33,-0.2668158527190074,12
270,-0.26683279705882307,12
186,-0.2707152302086686,12
67,-0.27640171705931665,12
165,-0.28560566661705517,12
192,-0.2973468298130606,12
43,-0.3008175963423922,12
69,-0.31182727686109685,12
19,-0.3122138015576556,12
48,-0.3177267482134544,12
102,-0.3324259205393098,12
177,-0.3355895941864875,12
15,-0.3445366201470093,12
195,-0.345550727664131,12
135,-0.34606956258483196,12
21,-0.3559116466266799,12
218,-0.36121311014788426,11
14,-0.36695223579949426,12
264,-0.3706012629560402,12
50,-0.37070309330919277,12
42,-0.37183018595099715,12
216,-0.3789941480488938,12
161,-0.39296647641099636,12
27,-0.395109184142598,12
175,-0.4034186714260389,12
182,-0.4118157621574213,12
200,-0.41644624046402806,12
250,-0.43203870462002975,12
47,-0.4595737292841598,12
23,-0.5178329718448595,12
120,-0.555398067429592,12
238,-0.6225213106106308,12
